P1 wins;P2 wins;P1 average turn time;P2 average turn time;Depth;Algorithm
1;9;0.00037722063863429177;0.0003784540660614073;(3, 3);Negamax
3;7;0.00031671366863765695;0.02276145709454843;(3, 7);Negamax
7;3;0.025529068405403005;0.00029152145737249165;(7, 3);Negamax
5;5;0.024703848285151375;0.021459103674545038;(7, 7);Negamax
6;4;0.002164716782654509;0.0019697112114301684;(3, 3);NegamaxNoPruning
4;6;0.002477701099100035;6.702792869455867;(3, 7);NegamaxNoPruning
8;2;9.432899639012003;0.002168304355968528;(7, 3);NegamaxNoPruning
5;5;9.08543029141534;7.044954840282993;(7, 7);NegamaxNoPruning
5;5;0.000642666206672712;0.0005507926494922713;(3, 3);NonRecursiveNegamax
2;8;0.0005205774236326408;0.03318309763343451;(3, 7);NonRecursiveNegamax
8;2;0.030318803274541607;0.0003519581877825809;(7, 3);NonRecursiveNegamax
4;6;0.028050057148482965;0.023709181558179644;(7, 7);NonRecursiveNegamax
4;6;0.0005971208192443445;0.0005542256237402402;(3, 3);SSS
2;8;0.000454358709845475;0.04621399053909251;(3, 7);SSS
8;2;0.03717148480313436;0.00031215994243158926;(7, 3);SSS
2;8;0.04042666604582969;0.03790280439464238;(7, 7);SSS
5;5;0.002675226461293884;0.0025235621283643166;(3, 3);Expectiminimax
3;7;0.0022077372960043386;3.809995472198768;(3, 7);Expectiminimax
5;5;4.283704106790841;0.002106719716818653;(7, 3);Expectiminimax
5;5;4.143147822535032;3.562363899281943;(7, 7);Expectiminimax
